ICS PAS (Warszawa),software1-P,95.22
UDPipe Future (Praha),software1-P,95.05
TurkuNLP (Turku),software1-P,94.98
KParse (İstanbul),software1-P,92.82
AntNLP (Shanghai),software1-P,92.5
BASELINE UDPipe 1.2 (Praha),software1-P,92.5
BOUN (İstanbul),software2-P,92.5
CEA LIST (Paris),software1-P,92.5
CUNI x-ling (Praha),software1-P,92.5
HIT-SCIR (Harbin),software1-P,92.5
HUJI (Yerushalayim),software1-P,92.5
LATTICE (Paris),software1-P,92.5
LeisureX (Shanghai),software1-P,92.5
ParisNLP (Paris),software1-P,92.5
Phoenix (Shanghai),software1-P,92.5
SLT-Interactions (Bengaluru),software2-P,92.5
UniMelb (Melbourne),software1-P,92.5
iParse (Pittsburgh),software1-P,92.5
Fudan (Shanghai),software5-P,92.1
ArmParser (Yerevan),software1-P,91.56
Stanford (Stanford),software2,86.82
NLP-Cube (București),software1-P,84.67
Uppsala (Uppsala),software1-P,68.07
IBM NY (Yorktown Heights),software1-P,67.19
ONLP lab (Ra'anana),software3-P,65.26
SParse (İstanbul),software1-P,0.0
