TurkuNLP (Turku),software1-P,97.27
Stanford (Stanford),software2,95.64
ICS PAS (Warszawa),software1-P,95.29
AntNLP (Shanghai),software1-P,92.76
BASELINE UDPipe 1.2 (Praha),software1-P,92.76
BOUN (İstanbul),software2-P,92.76
CEA LIST (Paris),software1-P,92.76
CUNI x-ling (Praha),software1-P,92.76
HUJI (Yerushalayim),software1-P,92.76
LATTICE (Paris),software1-P,92.76
LeisureX (Shanghai),software1-P,92.76
ParisNLP (Paris),software1-P,92.76
Phoenix (Shanghai),software1-P,92.76
SLT-Interactions (Bengaluru),software2-P,92.76
UniMelb (Melbourne),software1-P,92.76
iParse (Pittsburgh),software1-P,92.76
HIT-SCIR (Harbin),software1-P,92.74
ArmParser (Yerevan),software1-P,92.48
UDPipe Future (Praha),software1-P,91.08
KParse (İstanbul),software1-P,88.94
Fudan (Shanghai),software5-P,87.77
NLP-Cube (București),software1-P,83.17
ONLP lab (Ra'anana),software3-P,16.22
IBM NY (Yorktown Heights),software1-P,15.01
Uppsala (Uppsala),software1-P,15.01
SParse (İstanbul),software1-P,0.0
