TurkuNLP (Turku),software1-P,98.68
ICS PAS (Warszawa),software1-P,98.5
UDPipe Future (Praha),software1-P,98.45
AntNLP (Shanghai),software1-P,98.0
BASELINE UDPipe 1.2 (Praha),software1-P,98.0
BOUN (İstanbul),software2-P,98.0
CEA LIST (Paris),software1-P,98.0
CUNI x-ling (Praha),software1-P,98.0
HIT-SCIR (Harbin),software1-P,98.0
HUJI (Yerushalayim),software1-P,98.0
LATTICE (Paris),software1-P,98.0
LeisureX (Shanghai),software1-P,98.0
ParisNLP (Paris),software1-P,98.0
Phoenix (Shanghai),software1-P,98.0
UniMelb (Melbourne),software1-P,98.0
iParse (Pittsburgh),software1-P,98.0
ArmParser (Yerevan),software1-P,97.77
KParse (İstanbul),software1-P,97.35
Fudan (Shanghai),software5-P,96.93
NLP-Cube (București),software1-P,96.71
Stanford (Stanford),software2,96.44
IBM NY (Yorktown Heights),software1-P,72.3
ONLP lab (Ra'anana),software3-P,72.3
SLT-Interactions (Bengaluru),software2-P,72.3
Uppsala (Uppsala),software1-P,72.3
SParse (İstanbul),software1-P,0.0
