TurkuNLP (Turku),software1-P,96.83
UDPipe Future (Praha),software1-P,96.69
ICS PAS (Warszawa),software1-P,96.32
Stanford (Stanford),software2,95.32
AntNLP (Shanghai),software1-P,94.79
BASELINE UDPipe 1.2 (Praha),software1-P,94.79
BOUN (İstanbul),software2-P,94.79
CEA LIST (Paris),software1-P,94.79
CUNI x-ling (Praha),software1-P,94.79
Fudan (Shanghai),software5-P,94.79
HIT-SCIR (Harbin),software1-P,94.79
HUJI (Yerushalayim),software1-P,94.79
LATTICE (Paris),software1-P,94.79
LeisureX (Shanghai),software1-P,94.79
ParisNLP (Paris),software1-P,94.79
Phoenix (Shanghai),software1-P,94.79
SLT-Interactions (Bengaluru),software2-P,94.79
UniMelb (Melbourne),software1-P,94.79
iParse (Pittsburgh),software1-P,94.79
ArmParser (Yerevan),software1-P,94.53
KParse (İstanbul),software1-P,91.12
NLP-Cube (București),software1-P,89.95
ONLP lab (Ra'anana),software3-P,47.14
Uppsala (Uppsala),software1-P,46.04
IBM NY (Yorktown Heights),software1-P,46.01
SParse (İstanbul),software1-P,0.0
