TurkuNLP (Turku),software1-P,94.61
ICS PAS (Warszawa),software1-P,93.75
UDPipe Future (Praha),software1-P,92.99
Stanford (Stanford),software2,91.56
AntNLP (Shanghai),software1-P,88.51
BASELINE UDPipe 1.2 (Praha),software1-P,88.51
BOUN (İstanbul),software2-P,88.51
CEA LIST (Paris),software1-P,88.51
CUNI x-ling (Praha),software1-P,88.51
HIT-SCIR (Harbin),software1-P,88.51
HUJI (Yerushalayim),software1-P,88.51
IBM NY (Yorktown Heights),software1-P,88.51
LATTICE (Paris),software1-P,88.51
LeisureX (Shanghai),software1-P,88.51
ParisNLP (Paris),software1-P,88.51
Phoenix (Shanghai),software1-P,88.51
SLT-Interactions (Bengaluru),software2-P,88.51
UniMelb (Melbourne),software1-P,88.51
iParse (Pittsburgh),software1-P,88.51
ArmParser (Yerevan),software1-P,87.58
NLP-Cube (București),software1-P,83.14
Fudan (Shanghai),software5-P,82.22
KParse (İstanbul),software1-P,81.48
ONLP lab (Ra'anana),software3-P,66.09
Uppsala (Uppsala),software1-P,63.4
SParse (İstanbul),software1-P,0.0
