TurkuNLP (Turku),software1-P,99.67
Stanford (Stanford),software2,99.63
UDPipe Future (Praha),software1-P,99.6
Fudan (Shanghai),software5-P,99.02
ICS PAS (Warszawa),software1-P,98.81
Uppsala (Uppsala),software1-P,93.78
IBM NY (Yorktown Heights),software1-P,93.76
AntNLP (Shanghai),software1-P,92.18
BASELINE UDPipe 1.2 (Praha),software1-P,92.18
BOUN (İstanbul),software2-P,92.18
CEA LIST (Paris),software1-P,92.18
CUNI x-ling (Praha),software1-P,92.18
HIT-SCIR (Harbin),software1-P,92.18
HUJI (Yerushalayim),software1-P,92.18
KParse (İstanbul),software1-P,92.18
LATTICE (Paris),software1-P,92.18
LeisureX (Shanghai),software1-P,92.18
ParisNLP (Paris),software1-P,92.18
Phoenix (Shanghai),software1-P,92.18
SLT-Interactions (Bengaluru),software2-P,92.18
UniMelb (Melbourne),software1-P,92.18
iParse (Pittsburgh),software1-P,92.18
ArmParser (Yerevan),software1-P,92.16
NLP-Cube (București),software1-P,80.99
ONLP lab (Ra'anana),software3-P,72.2
SParse (İstanbul),software1-P,0.0
