HIT-SCIR (Harbin),software1-P,62.88
Uppsala (Uppsala),software1-P,61.66
SLT-Interactions (Bengaluru),software2-P,60.16
Stanford (Stanford),software2,58.47
ONLP lab (Ra'anana),software3-P,55.81
UDPipe Future (Praha),software1-P,54.76
AntNLP (Shanghai),software1-P,54.75
BASELINE UDPipe 1.2 (Praha),software1-P,54.75
BOUN (İstanbul),software2-P,54.75
CEA LIST (Paris),software1-P,54.75
CUNI x-ling (Praha),software1-P,54.75
Fudan (Shanghai),software5-P,54.75
HUJI (Yerushalayim),software1-P,54.75
IBM NY (Yorktown Heights),software1-P,54.75
KParse (İstanbul),software1-P,54.75
LATTICE (Paris),software1-P,54.75
LeisureX (Shanghai),software1-P,54.75
ParisNLP (Paris),software1-P,54.75
Phoenix (Shanghai),software1-P,54.75
UniMelb (Melbourne),software1-P,54.75
TurkuNLP (Turku),software1-P,54.47
NLP-Cube (București),software1-P,54.14
ICS PAS (Warszawa),software1-P,45.89
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
