TurkuNLP (Turku),software1-P,94.02
Stanford (Stanford),software2,92.23
UDPipe Future (Praha),software1-P,91.37
AntNLP (Shanghai),software1-P,87.03
BASELINE UDPipe 1.2 (Praha),software1-P,87.03
BOUN (İstanbul),software2-P,87.03
CEA LIST (Paris),software1-P,87.03
CUNI x-ling (Praha),software1-P,87.03
HIT-SCIR (Harbin),software1-P,87.03
HUJI (Yerushalayim),software1-P,87.03
LATTICE (Paris),software1-P,87.03
LeisureX (Shanghai),software1-P,87.03
ParisNLP (Paris),software1-P,87.03
Phoenix (Shanghai),software1-P,87.03
SLT-Interactions (Bengaluru),software2-P,87.03
UniMelb (Melbourne),software1-P,87.03
iParse (Pittsburgh),software1-P,87.03
KParse (İstanbul),software1-P,86.95
ArmParser (Yerevan),software1-P,86.94
Fudan (Shanghai),software5-P,86.36
ICS PAS (Warszawa),software1-P,85.49
ONLP lab (Ra'anana),software3-P,39.16
Uppsala (Uppsala),software1-P,38.76
IBM NY (Yorktown Heights),software1-P,38.49
NLP-Cube (București),software1-P,38.39
SParse (İstanbul),software1-P,0.0
