TurkuNLP (Turku),software1-P,93.7
ICS PAS (Warszawa),software1-P,93.35
UDPipe Future (Praha),software1-P,93.33
Stanford (Stanford),software2,91.49
AntNLP (Shanghai),software1-P,90.24
BASELINE UDPipe 1.2 (Praha),software1-P,90.24
CEA LIST (Paris),software1-P,90.24
CUNI x-ling (Praha),software1-P,90.24
HIT-SCIR (Harbin),software1-P,90.24
HUJI (Yerushalayim),software1-P,90.24
LATTICE (Paris),software1-P,90.24
LeisureX (Shanghai),software1-P,90.24
ParisNLP (Paris),software1-P,90.24
Phoenix (Shanghai),software1-P,90.24
SLT-Interactions (Bengaluru),software2-P,90.24
UniMelb (Melbourne),software1-P,90.24
BOUN (İstanbul),software2-P,90.21
ArmParser (Yerevan),software1-P,90.09
KParse (İstanbul),software1-P,89.54
Fudan (Shanghai),software5-P,87.84
NLP-Cube (București),software1-P,86.24
Uppsala (Uppsala),software1-P,53.36
IBM NY (Yorktown Heights),software1-P,53.31
ONLP lab (Ra'anana),software3-P,50.99
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
