UDPipe Future (Praha),software1-P,97.8
TurkuNLP (Turku),software1-P,97.71
ICS PAS (Warszawa),software1-P,97.65
Stanford (Stanford),software2,97.09
AntNLP (Shanghai),software1-P,96.36
BASELINE UDPipe 1.2 (Praha),software1-P,96.36
BOUN (İstanbul),software2-P,96.36
CEA LIST (Paris),software1-P,96.36
CUNI x-ling (Praha),software1-P,96.36
HIT-SCIR (Harbin),software1-P,96.36
HUJI (Yerushalayim),software1-P,96.36
KParse (İstanbul),software1-P,96.36
LATTICE (Paris),software1-P,96.36
LeisureX (Shanghai),software1-P,96.36
ParisNLP (Paris),software1-P,96.36
Phoenix (Shanghai),software1-P,96.36
SLT-Interactions (Bengaluru),software2-P,96.36
UniMelb (Melbourne),software1-P,96.36
iParse (Pittsburgh),software1-P,96.36
Fudan (Shanghai),software5-P,91.51
NLP-Cube (București),software1-P,82.42
ONLP lab (Ra'anana),software3-P,53.86
Uppsala (Uppsala),software1-P,52.23
IBM NY (Yorktown Heights),software1-P,52.19
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
