Uppsala (Uppsala),software1-P,95.64
CEA LIST (Paris),software1-P,95.39
CUNI x-ling (Praha),software1-P,94.85
Stanford (Stanford),software2,92.58
HIT-SCIR (Harbin),software1-P,91.69
UDPipe Future (Praha),software1-P,89.72
ONLP lab (Ra'anana),software3-P,87.97
Phoenix (Shanghai),software1-P,85.69
TurkuNLP (Turku),software1-P,80.52
IBM NY (Yorktown Heights),software1-P,79.73
ICS PAS (Warszawa),software1-P,77.68
AntNLP (Shanghai),software1-P,75.25
BASELINE UDPipe 1.2 (Praha),software1-P,75.25
BOUN (İstanbul),software2-P,75.25
HUJI (Yerushalayim),software1-P,75.25
KParse (İstanbul),software1-P,75.25
LATTICE (Paris),software1-P,75.25
LeisureX (Shanghai),software1-P,75.25
NLP-Cube (București),software1-P,75.25
ParisNLP (Paris),software1-P,75.25
SLT-Interactions (Bengaluru),software2-P,75.25
UniMelb (Melbourne),software1-P,75.25
Fudan (Shanghai),software5-P,73.4
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
