TurkuNLP (Turku),software1-P,96.23
UDPipe Future (Praha),software1-P,95.66
ICS PAS (Warszawa),software1-P,94.01
Stanford (Stanford),software2,93.1
Fudan (Shanghai),software5-P,91.73
AntNLP (Shanghai),software1-P,86.21
BASELINE UDPipe 1.2 (Praha),software1-P,86.21
BOUN (İstanbul),software2-P,86.21
CEA LIST (Paris),software1-P,86.21
CUNI x-ling (Praha),software1-P,86.21
HIT-SCIR (Harbin),software1-P,86.21
HUJI (Yerushalayim),software1-P,86.21
KParse (İstanbul),software1-P,86.21
LATTICE (Paris),software1-P,86.21
LeisureX (Shanghai),software1-P,86.21
ParisNLP (Paris),software1-P,86.21
Phoenix (Shanghai),software1-P,86.21
SLT-Interactions (Bengaluru),software2-P,86.21
UniMelb (Melbourne),software1-P,86.21
iParse (Pittsburgh),software1-P,86.21
ArmParser (Yerevan),software1-P,85.65
NLP-Cube (București),software1-P,84.26
Uppsala (Uppsala),software1-P,53.04
IBM NY (Yorktown Heights),software1-P,53.02
ONLP lab (Ra'anana),software3-P,44.21
SParse (İstanbul),software1-P,0.0
