ICS PAS (Warszawa),software1-P,94.86
TurkuNLP (Turku),software1-P,94.83
Stanford (Stanford),software2,93.75
UDPipe Future (Praha),software1-P,92.74
AntNLP (Shanghai),software1-P,89.45
BASELINE UDPipe 1.2 (Praha),software1-P,89.45
BOUN (İstanbul),software2-P,89.45
CEA LIST (Paris),software1-P,89.45
CUNI x-ling (Praha),software1-P,89.45
HIT-SCIR (Harbin),software1-P,89.45
HUJI (Yerushalayim),software1-P,89.45
IBM NY (Yorktown Heights),software1-P,89.45
KParse (İstanbul),software1-P,89.45
LATTICE (Paris),software1-P,89.45
LeisureX (Shanghai),software1-P,89.45
ParisNLP (Paris),software1-P,89.45
Phoenix (Shanghai),software1-P,89.45
SLT-Interactions (Bengaluru),software2-P,89.45
UniMelb (Melbourne),software1-P,89.45
iParse (Pittsburgh),software1-P,89.45
ArmParser (Yerevan),software1-P,89.42
Fudan (Shanghai),software5-P,86.44
NLP-Cube (București),software1-P,82.94
Uppsala (Uppsala),software1-P,51.95
ONLP lab (Ra'anana),software3-P,48.55
SParse (İstanbul),software1-P,0.0
