HIT-SCIR (Harbin),software1-P,96.7
Uppsala (Uppsala),software1-P,92.74
Stanford (Stanford),software2,92.61
NLP-Cube (București),software1-P,92.38
SLT-Interactions (Bengaluru),software2-P,92.02
UDPipe Future (Praha),software1-P,90.01
AntNLP (Shanghai),software1-P,89.54
ArmParser (Yerevan),software1-P,89.54
BASELINE UDPipe 1.2 (Praha),software1-P,89.54
BOUN (İstanbul),software2-P,89.54
CEA LIST (Paris),software1-P,89.54
CUNI x-ling (Praha),software1-P,89.54
HUJI (Yerushalayim),software1-P,89.54
IBM NY (Yorktown Heights),software1-P,89.54
LATTICE (Paris),software1-P,89.54
LeisureX (Shanghai),software1-P,89.54
ParisNLP (Paris),software1-P,89.54
Phoenix (Shanghai),software1-P,89.54
UniMelb (Melbourne),software1-P,89.54
iParse (Pittsburgh),software1-P,89.54
ONLP lab (Ra'anana),software3-P,89.35
Fudan (Shanghai),software5-P,88.96
TurkuNLP (Turku),software1-P,87.74
ICS PAS (Warszawa),software1-P,87.7
KParse (İstanbul),software1-P,87.1
SParse (İstanbul),software1-P,0.0
