UDPipe Future (Praha),software1-P,68.48
Stanford (Stanford),software2,68.36
TurkuNLP (Turku),software1-P,68.1
ICS PAS (Warszawa),software1-P,67.11
CEA LIST (Paris),software1-P,66.95
HIT-SCIR (Harbin),software1-P,66.67
Uppsala (Uppsala),software1-P,65.74
NLP-Cube (București),software1-P,64.37
LATTICE (Paris),software1-P,63.1
ParisNLP (Paris),software1-P,62.32
AntNLP (Shanghai),software1-P,62.26
SLT-Interactions (Bengaluru),software2-P,61.69
UniMelb (Melbourne),software1-P,59.93
LeisureX (Shanghai),software1-P,59.74
KParse (İstanbul),software1-P,59.35
Fudan (Shanghai),software5-P,58.57
BASELINE UDPipe 1.2 (Praha),software1-P,58.47
Phoenix (Shanghai),software1-P,58.32
BOUN (İstanbul),software2-P,56.33
CUNI x-ling (Praha),software1-P,55.68
ONLP lab (Ra'anana),software3-P,51.12
HUJI (Yerushalayim),software1-P,50.99
iParse (Pittsburgh),software1-P,50.28
IBM NY (Yorktown Heights),software1-P,44.48
ArmParser (Yerevan),software1-P,40.25
SParse (İstanbul),software1-P,2.26
