UDPipe Future (Praha),software1-P,75.67
Stanford (Stanford),software2,75.66
TurkuNLP (Turku),software1-P,74.68
CEA LIST (Paris),software1-P,73.15
ICS PAS (Warszawa),software1-P,72.91
HIT-SCIR (Harbin),software1-P,71.61
NLP-Cube (București),software1-P,71.47
ParisNLP (Paris),software1-P,69.59
AntNLP (Shanghai),software1-P,69.35
LATTICE (Paris),software1-P,69.08
SLT-Interactions (Bengaluru),software2-P,68.66
LeisureX (Shanghai),software1-P,66.96
iParse (Pittsburgh),software1-P,66.56
Uppsala (Uppsala),software1-P,66.35
KParse (İstanbul),software1-P,65.12
BASELINE UDPipe 1.2 (Praha),software1-P,64.48
Fudan (Shanghai),software5-P,64.48
Phoenix (Shanghai),software1-P,63.81
CUNI x-ling (Praha),software1-P,63.14
UniMelb (Melbourne),software1-P,62.95
IBM NY (Yorktown Heights),software1-P,61.6
ONLP lab (Ra'anana),software3-P,60.73
BOUN (İstanbul),software2-P,58.08
HUJI (Yerushalayim),software1-P,57.09
ArmParser (Yerevan),software1-P,44.69
SParse (İstanbul),software1-P,0.0
