UDPipe Future (Praha),software1-P,83.12
Stanford (Stanford),software2,82.89
CEA LIST (Paris),software1-P,82.55
TurkuNLP (Turku),software1-P,82.37
HIT-SCIR (Harbin),software1-P,81.79
Uppsala (Uppsala),software1-P,81.2
ICS PAS (Warszawa),software1-P,81.1
NLP-Cube (București),software1-P,79.67
ParisNLP (Paris),software1-P,79.07
SLT-Interactions (Bengaluru),software2-P,78.63
iParse (Pittsburgh),software1-P,77.65
LeisureX (Shanghai),software1-P,77.56
AntNLP (Shanghai),software1-P,77.45
LATTICE (Paris),software1-P,77.04
UniMelb (Melbourne),software1-P,76.27
KParse (İstanbul),software1-P,75.58
Fudan (Shanghai),software5-P,75.42
BASELINE UDPipe 1.2 (Praha),software1-P,75.3
Phoenix (Shanghai),software1-P,75.28
HUJI (Yerushalayim),software1-P,74.52
BOUN (İstanbul),software2-P,72.76
CUNI x-ling (Praha),software1-P,71.72
ONLP lab (Ra'anana),software3-P,69.16
ArmParser (Yerevan),software1-P,60.85
IBM NY (Yorktown Heights),software1-P,53.66
SParse (İstanbul),software1-P,0.0
