Uppsala (Uppsala),software1-P,13.91
TurkuNLP (Turku),software1-P,11.47
CEA LIST (Paris),software1-P,4.15
CUNI x-ling (Praha),software1-P,3.0
UDPipe Future (Praha),software1-P,1.24
LATTICE (Paris),software1-P,0.7
Phoenix (Shanghai),software1-P,0.5
BOUN (İstanbul),software2-P,0.43
ONLP lab (Ra'anana),software3-P,0.42
AntNLP (Shanghai),software1-P,0.37
BASELINE UDPipe 1.2 (Praha),software1-P,0.37
Fudan (Shanghai),software5-P,0.37
LeisureX (Shanghai),software1-P,0.37
UniMelb (Melbourne),software1-P,0.37
KParse (İstanbul),software1-P,0.35
NLP-Cube (București),software1-P,0.34
ParisNLP (Paris),software1-P,0.34
iParse (Pittsburgh),software1-P,0.26
SLT-Interactions (Bengaluru),software2-P,0.17
HUJI (Yerushalayim),software1-P,0.15
IBM NY (Yorktown Heights),software1-P,0.08
ICS PAS (Warszawa),software1-P,0.05
Stanford (Stanford),software2,0.05
HIT-SCIR (Harbin),software1-P,0.02
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
