AntNLP (Shanghai),software1-P,2.98
CUNI x-ling (Praha),software1-P,2.53
LATTICE (Paris),software1-P,2.18
BASELINE UDPipe 1.2 (Praha),software1-P,2.09
CEA LIST (Paris),software1-P,2.09
LeisureX (Shanghai),software1-P,2.09
UDPipe Future (Praha),software1-P,2.09
UniMelb (Melbourne),software1-P,2.09
Fudan (Shanghai),software5-P,1.97
ParisNLP (Paris),software1-P,1.78
ONLP lab (Ra'anana),software3-P,1.65
Phoenix (Shanghai),software1-P,1.44
Uppsala (Uppsala),software1-P,1.26
Stanford (Stanford),software2,1.12
IBM NY (Yorktown Heights),software1-P,1.1
ICS PAS (Warszawa),software1-P,1.09
BOUN (İstanbul),software2-P,1.01
TurkuNLP (Turku),software1-P,0.96
SLT-Interactions (Bengaluru),software2-P,0.86
HIT-SCIR (Harbin),software1-P,0.78
HUJI (Yerushalayim),software1-P,0.69
KParse (İstanbul),software1-P,0.49
iParse (Pittsburgh),software1-P,0.24
NLP-Cube (București),software1-P,0.06
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
