UDPipe Future (Praha),software1-P,84.07
HIT-SCIR (Harbin),software1-P,83.72
Stanford (Stanford),software2,83.67
ICS PAS (Warszawa),software1-P,83.11
NLP-Cube (București),software1-P,82.54
CEA LIST (Paris),software1-P,82.09
ParisNLP (Paris),software1-P,81.63
iParse (Pittsburgh),software1-P,81.55
Uppsala (Uppsala),software1-P,81.39
LeisureX (Shanghai),software1-P,80.87
TurkuNLP (Turku),software1-P,80.84
SLT-Interactions (Bengaluru),software2-P,80.79
LATTICE (Paris),software1-P,80.7
AntNLP (Shanghai),software1-P,80.67
UniMelb (Melbourne),software1-P,79.39
Fudan (Shanghai),software5-P,78.81
KParse (İstanbul),software1-P,77.22
BASELINE UDPipe 1.2 (Praha),software1-P,76.74
Phoenix (Shanghai),software1-P,76.7
BOUN (İstanbul),software2-P,75.73
HUJI (Yerushalayim),software1-P,73.98
CUNI x-ling (Praha),software1-P,70.97
ONLP lab (Ra'anana),software3-P,70.37
ArmParser (Yerevan),software1-P,56.94
IBM NY (Yorktown Heights),software1-P,55.69
SParse (İstanbul),software1-P,0.0
