UDPipe Future (Praha),software1-P,85.1
ICS PAS (Warszawa),software1-P,84.04
TurkuNLP (Turku),software1-P,83.16
Uppsala (Uppsala),software1-P,82.39
NLP-Cube (București),software1-P,81.73
Stanford (Stanford),software2,81.72
HIT-SCIR (Harbin),software1-P,80.57
ParisNLP (Paris),software1-P,79.13
LATTICE (Paris),software1-P,78.81
CEA LIST (Paris),software1-P,78.63
AntNLP (Shanghai),software1-P,78.39
LeisureX (Shanghai),software1-P,78.2
SLT-Interactions (Bengaluru),software2-P,77.07
iParse (Pittsburgh),software1-P,76.79
IBM NY (Yorktown Heights),software1-P,76.72
Fudan (Shanghai),software5-P,75.34
UniMelb (Melbourne),software1-P,74.87
BASELINE UDPipe 1.2 (Praha),software1-P,74.32
BOUN (İstanbul),software2-P,74.04
Phoenix (Shanghai),software1-P,73.99
KParse (İstanbul),software1-P,73.77
HUJI (Yerushalayim),software1-P,70.91
CUNI x-ling (Praha),software1-P,68.85
ONLP lab (Ra'anana),software3-P,65.51
ArmParser (Yerevan),software1-P,59.82
SParse (İstanbul),software1-P,0.0
