Stanford (Stanford),software2,63.31
UDPipe Future (Praha),software1-P,62.6
TurkuNLP (Turku),software1-P,62.11
CEA LIST (Paris),software1-P,61.79
HIT-SCIR (Harbin),software1-P,59.46
Uppsala (Uppsala),software1-P,58.31
ParisNLP (Paris),software1-P,57.01
ICS PAS (Warszawa),software1-P,56.52
Fudan (Shanghai),software5-P,56.44
LATTICE (Paris),software1-P,55.89
iParse (Pittsburgh),software1-P,55.81
LeisureX (Shanghai),software1-P,55.36
SLT-Interactions (Bengaluru),software2-P,54.65
AntNLP (Shanghai),software1-P,54.3
BASELINE UDPipe 1.2 (Praha),software1-P,53.96
Phoenix (Shanghai),software1-P,53.77
NLP-Cube (București),software1-P,53.66
CUNI x-ling (Praha),software1-P,52.18
UniMelb (Melbourne),software1-P,50.26
BOUN (İstanbul),software2-P,47.99
HUJI (Yerushalayim),software1-P,47.74
KParse (İstanbul),software1-P,46.96
ONLP lab (Ra'anana),software3-P,46.96
IBM NY (Yorktown Heights),software1-P,40.22
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
