Stanford (Stanford),software2,77.31
HIT-SCIR (Harbin),software1-P,75.58
UDPipe Future (Praha),software1-P,75.29
CEA LIST (Paris),software1-P,75.27
TurkuNLP (Turku),software1-P,75.0
ICS PAS (Warszawa),software1-P,74.22
NLP-Cube (București),software1-P,72.62
Uppsala (Uppsala),software1-P,71.19
ParisNLP (Paris),software1-P,70.47
SLT-Interactions (Bengaluru),software2-P,69.45
AntNLP (Shanghai),software1-P,69.21
iParse (Pittsburgh),software1-P,68.8
LATTICE (Paris),software1-P,67.64
LeisureX (Shanghai),software1-P,67.34
KParse (İstanbul),software1-P,67.05
Phoenix (Shanghai),software1-P,65.56
UniMelb (Melbourne),software1-P,65.46
BASELINE UDPipe 1.2 (Praha),software1-P,65.41
Fudan (Shanghai),software5-P,65.27
BOUN (İstanbul),software2-P,63.21
CUNI x-ling (Praha),software1-P,62.48
HUJI (Yerushalayim),software1-P,61.4
ONLP lab (Ra'anana),software3-P,60.7
IBM NY (Yorktown Heights),software1-P,52.32
ArmParser (Yerevan),software1-P,51.66
SParse (İstanbul),software1-P,0.0
