Stanford (Stanford),software2,76.33
HIT-SCIR (Harbin),software1-P,74.79
UDPipe Future (Praha),software1-P,74.71
CEA LIST (Paris),software1-P,74.46
TurkuNLP (Turku),software1-P,74.42
LATTICE (Paris),software1-P,74.19
NLP-Cube (București),software1-P,73.75
ICS PAS (Warszawa),software1-P,73.33
Uppsala (Uppsala),software1-P,72.98
ParisNLP (Paris),software1-P,71.53
SLT-Interactions (Bengaluru),software2-P,71.37
iParse (Pittsburgh),software1-P,71.35
AntNLP (Shanghai),software1-P,70.74
LeisureX (Shanghai),software1-P,70.58
UniMelb (Melbourne),software1-P,70.3
BASELINE UDPipe 1.2 (Praha),software1-P,68.7
Phoenix (Shanghai),software1-P,68.6
HUJI (Yerushalayim),software1-P,67.23
Fudan (Shanghai),software5-P,67.13
KParse (İstanbul),software1-P,66.78
CUNI x-ling (Praha),software1-P,65.7
BOUN (İstanbul),software2-P,64.0
ONLP lab (Ra'anana),software3-P,63.06
ArmParser (Yerevan),software1-P,57.73
IBM NY (Yorktown Heights),software1-P,54.04
SParse (İstanbul),software1-P,0.0
