ICS PAS (Warszawa),software1-P,72.25
HIT-SCIR (Harbin),software1-P,71.73
TurkuNLP (Turku),software1-P,71.62
Stanford (Stanford),software2,71.21
LATTICE (Paris),software1-P,71.17
UDPipe Future (Praha),software1-P,70.66
Uppsala (Uppsala),software1-P,70.18
CEA LIST (Paris),software1-P,70.05
AntNLP (Shanghai),software1-P,69.36
NLP-Cube (București),software1-P,69.28
SLT-Interactions (Bengaluru),software2-P,68.41
ParisNLP (Paris),software1-P,66.73
iParse (Pittsburgh),software1-P,66.15
LeisureX (Shanghai),software1-P,65.04
KParse (İstanbul),software1-P,64.91
BASELINE UDPipe 1.2 (Praha),software1-P,64.03
Phoenix (Shanghai),software1-P,63.76
UniMelb (Melbourne),software1-P,63.58
Fudan (Shanghai),software5-P,63.37
CUNI x-ling (Praha),software1-P,62.82
HUJI (Yerushalayim),software1-P,61.76
ONLP lab (Ra'anana),software3-P,60.28
BOUN (İstanbul),software2-P,59.03
ArmParser (Yerevan),software1-P,44.89
IBM NY (Yorktown Heights),software1-P,38.84
SParse (İstanbul),software1-P,0.0
