Stanford (Stanford),software2,80.84
TurkuNLP (Turku),software1-P,80.06
UDPipe Future (Praha),software1-P,79.25
ICS PAS (Warszawa),software1-P,78.65
CEA LIST (Paris),software1-P,78.59
HIT-SCIR (Harbin),software1-P,77.75
Uppsala (Uppsala),software1-P,77.5
LATTICE (Paris),software1-P,74.88
ParisNLP (Paris),software1-P,73.16
NLP-Cube (București),software1-P,73.04
SLT-Interactions (Bengaluru),software2-P,72.84
AntNLP (Shanghai),software1-P,72.59
UniMelb (Melbourne),software1-P,70.61
LeisureX (Shanghai),software1-P,70.42
KParse (İstanbul),software1-P,70.4
Fudan (Shanghai),software5-P,69.7
Phoenix (Shanghai),software1-P,68.62
BASELINE UDPipe 1.2 (Praha),software1-P,68.58
BOUN (İstanbul),software2-P,67.56
IBM NY (Yorktown Heights),software1-P,66.11
CUNI x-ling (Praha),software1-P,64.39
HUJI (Yerushalayim),software1-P,56.83
ONLP lab (Ra'anana),software3-P,56.5
ArmParser (Yerevan),software1-P,48.24
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
