Stanford (Stanford),software2,82.55
ICS PAS (Warszawa),software1-P,81.48
UDPipe Future (Praha),software1-P,81.45
CEA LIST (Paris),software1-P,80.2
TurkuNLP (Turku),software1-P,80.18
Uppsala (Uppsala),software1-P,79.97
HIT-SCIR (Harbin),software1-P,79.4
LATTICE (Paris),software1-P,79.4
SLT-Interactions (Bengaluru),software2-P,77.9
KParse (İstanbul),software1-P,76.56
NLP-Cube (București),software1-P,75.5
ParisNLP (Paris),software1-P,74.7
UniMelb (Melbourne),software1-P,74.34
AntNLP (Shanghai),software1-P,74.13
iParse (Pittsburgh),software1-P,72.48
Fudan (Shanghai),software5-P,72.09
Phoenix (Shanghai),software1-P,71.58
BASELINE UDPipe 1.2 (Praha),software1-P,71.34
LeisureX (Shanghai),software1-P,71.23
HUJI (Yerushalayim),software1-P,70.06
BOUN (İstanbul),software2-P,70.04
ONLP lab (Ra'anana),software3-P,69.18
CUNI x-ling (Praha),software1-P,68.75
ArmParser (Yerevan),software1-P,55.68
IBM NY (Yorktown Heights),software1-P,40.61
SParse (İstanbul),software1-P,0.0
