HIT-SCIR (Harbin),software1-P,64.67
ICS PAS (Warszawa),software1-P,63.43
LATTICE (Paris),software1-P,62.95
SLT-Interactions (Bengaluru),software2-P,62.46
Stanford (Stanford),software2,61.64
UDPipe Future (Praha),software1-P,60.17
Uppsala (Uppsala),software1-P,60.12
CEA LIST (Paris),software1-P,57.88
AntNLP (Shanghai),software1-P,57.43
KParse (İstanbul),software1-P,57.32
TurkuNLP (Turku),software1-P,56.91
UniMelb (Melbourne),software1-P,55.41
Phoenix (Shanghai),software1-P,53.63
BASELINE UDPipe 1.2 (Praha),software1-P,53.46
NLP-Cube (București),software1-P,53.41
ParisNLP (Paris),software1-P,53.3
IBM NY (Yorktown Heights),software1-P,52.9
LeisureX (Shanghai),software1-P,52.73
CUNI x-ling (Praha),software1-P,51.92
ONLP lab (Ra'anana),software3-P,51.17
Fudan (Shanghai),software5-P,49.34
iParse (Pittsburgh),software1-P,49.18
HUJI (Yerushalayim),software1-P,48.46
ArmParser (Yerevan),software1-P,47.08
BOUN (İstanbul),software2-P,45.56
SParse (İstanbul),software1-P,0.0
