UDPipe Future (Praha),software1-P,60.63
Uppsala (Uppsala),software1-P,58.22
TurkuNLP (Turku),software1-P,57.7
SLT-Interactions (Bengaluru),software2-P,53.42
LATTICE (Paris),software1-P,53.28
ICS PAS (Warszawa),software1-P,52.88
AntNLP (Shanghai),software1-P,52.82
HIT-SCIR (Harbin),software1-P,52.69
KParse (İstanbul),software1-P,52.15
ParisNLP (Paris),software1-P,51.1
BASELINE UDPipe 1.2 (Praha),software1-P,49.13
CEA LIST (Paris),software1-P,49.13
LeisureX (Shanghai),software1-P,49.13
UniMelb (Melbourne),software1-P,48.77
CUNI x-ling (Praha),software1-P,48.7
Phoenix (Shanghai),software1-P,48.6
ONLP lab (Ra'anana),software3-P,47.71
NLP-Cube (București),software1-P,47.68
Fudan (Shanghai),software5-P,47.04
iParse (Pittsburgh),software1-P,46.87
BOUN (İstanbul),software2-P,46.11
HUJI (Yerushalayim),software1-P,41.76
ArmParser (Yerevan),software1-P,40.9
Stanford (Stanford),software2,40.73
IBM NY (Yorktown Heights),software1-P,33.95
SParse (İstanbul),software1-P,0.0
