UDPipe Future (Praha),software1-P,67.13
TurkuNLP (Turku),software1-P,66.97
ICS PAS (Warszawa),software1-P,66.09
CEA LIST (Paris),software1-P,65.68
Stanford (Stanford),software2,65.63
HIT-SCIR (Harbin),software1-P,64.96
NLP-Cube (București),software1-P,59.93
SLT-Interactions (Bengaluru),software2-P,58.08
AntNLP (Shanghai),software1-P,56.6
Uppsala (Uppsala),software1-P,56.22
ParisNLP (Paris),software1-P,55.98
LATTICE (Paris),software1-P,55.49
iParse (Pittsburgh),software1-P,54.23
IBM NY (Yorktown Heights),software1-P,53.34
BASELINE UDPipe 1.2 (Praha),software1-P,52.82
Phoenix (Shanghai),software1-P,52.78
Fudan (Shanghai),software5-P,52.39
UniMelb (Melbourne),software1-P,52.11
CUNI x-ling (Praha),software1-P,51.67
KParse (İstanbul),software1-P,51.13
BOUN (İstanbul),software2-P,50.91
LeisureX (Shanghai),software1-P,50.36
ONLP lab (Ra'anana),software3-P,41.0
HUJI (Yerushalayim),software1-P,39.59
ArmParser (Yerevan),software1-P,39.09
SParse (İstanbul),software1-P,0.0
