IBM NY (Yorktown Heights),software1-P,7.98
ONLP lab (Ra'anana),software3-P,7.77
CUNI x-ling (Praha),software1-P,6.92
NLP-Cube (București),software1-P,5.87
Uppsala (Uppsala),software1-P,5.77
AntNLP (Shanghai),software1-P,5.69
BASELINE UDPipe 1.2 (Praha),software1-P,5.47
CEA LIST (Paris),software1-P,5.47
Fudan (Shanghai),software5-P,5.47
LeisureX (Shanghai),software1-P,5.47
UniMelb (Melbourne),software1-P,5.47
LATTICE (Paris),software1-P,5.32
Stanford (Stanford),software2,4.38
ParisNLP (Paris),software1-P,4.09
KParse (İstanbul),software1-P,3.97
TurkuNLP (Turku),software1-P,3.44
Phoenix (Shanghai),software1-P,2.94
BOUN (İstanbul),software2-P,2.59
HIT-SCIR (Harbin),software1-P,2.4
UDPipe Future (Praha),software1-P,2.4
ICS PAS (Warszawa),software1-P,2.26
HUJI (Yerushalayim),software1-P,1.91
iParse (Pittsburgh),software1-P,0.63
SLT-Interactions (Bengaluru),software2-P,0.55
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
