HIT-SCIR (Harbin),software1-P,81.29
TurkuNLP (Turku),software1-P,81.16
CEA LIST (Paris),software1-P,80.48
UDPipe Future (Praha),software1-P,80.46
Stanford (Stanford),software2,80.4
LATTICE (Paris),software1-P,80.15
NLP-Cube (București),software1-P,79.5
SLT-Interactions (Bengaluru),software2-P,79.07
Uppsala (Uppsala),software1-P,78.9
ParisNLP (Paris),software1-P,77.49
iParse (Pittsburgh),software1-P,77.22
AntNLP (Shanghai),software1-P,77.16
IBM NY (Yorktown Heights),software1-P,76.99
ICS PAS (Warszawa),software1-P,76.92
LeisureX (Shanghai),software1-P,76.91
Fudan (Shanghai),software5-P,75.55
BOUN (İstanbul),software2-P,74.22
UniMelb (Melbourne),software1-P,73.13
KParse (İstanbul),software1-P,71.49
HUJI (Yerushalayim),software1-P,61.94
BASELINE UDPipe 1.2 (Praha),software1-P,61.49
Phoenix (Shanghai),software1-P,61.48
ArmParser (Yerevan),software1-P,55.17
CUNI x-ling (Praha),software1-P,53.46
ONLP lab (Ra'anana),software3-P,52.62
SParse (İstanbul),software1-P,0.0
