ICS PAS (Warszawa),software1-P,79.84
UDPipe Future (Praha),software1-P,79.73
Stanford (Stanford),software2,79.39
TurkuNLP (Turku),software1-P,79.38
CEA LIST (Paris),software1-P,77.97
HIT-SCIR (Harbin),software1-P,77.25
NLP-Cube (București),software1-P,76.98
Uppsala (Uppsala),software1-P,75.38
LATTICE (Paris),software1-P,74.87
ParisNLP (Paris),software1-P,74.66
iParse (Pittsburgh),software1-P,74.29
SLT-Interactions (Bengaluru),software2-P,73.85
LeisureX (Shanghai),software1-P,73.55
AntNLP (Shanghai),software1-P,73.03
Fudan (Shanghai),software5-P,70.83
BOUN (İstanbul),software2-P,67.78
KParse (İstanbul),software1-P,67.49
UniMelb (Melbourne),software1-P,66.53
BASELINE UDPipe 1.2 (Praha),software1-P,66.08
Phoenix (Shanghai),software1-P,65.83
HUJI (Yerushalayim),software1-P,64.33
CUNI x-ling (Praha),software1-P,62.77
IBM NY (Yorktown Heights),software1-P,55.15
ONLP lab (Ra'anana),software3-P,54.81
ArmParser (Yerevan),software1-P,50.22
SParse (İstanbul),software1-P,0.0
