Stanford (Stanford),software2,74.11
HIT-SCIR (Harbin),software1-P,73.13
ICS PAS (Warszawa),software1-P,72.65
UDPipe Future (Praha),software1-P,72.1
CEA LIST (Paris),software1-P,70.9
Uppsala (Uppsala),software1-P,70.88
TurkuNLP (Turku),software1-P,70.36
LATTICE (Paris),software1-P,69.83
NLP-Cube (București),software1-P,69.25
AntNLP (Shanghai),software1-P,68.99
ParisNLP (Paris),software1-P,67.44
iParse (Pittsburgh),software1-P,66.56
SLT-Interactions (Bengaluru),software2-P,66.51
LeisureX (Shanghai),software1-P,64.55
KParse (İstanbul),software1-P,63.97
UniMelb (Melbourne),software1-P,63.82
Phoenix (Shanghai),software1-P,61.98
BASELINE UDPipe 1.2 (Praha),software1-P,61.85
Fudan (Shanghai),software5-P,61.49
BOUN (İstanbul),software2-P,61.4
HUJI (Yerushalayim),software1-P,61.2
CUNI x-ling (Praha),software1-P,61.03
ONLP lab (Ra'anana),software3-P,58.26
ArmParser (Yerevan),software1-P,47.5
IBM NY (Yorktown Heights),software1-P,30.87
SParse (İstanbul),software1-P,0.0
