KParse (İstanbul),software1-P,5.3
AntNLP (Shanghai),software1-P,4.78
BASELINE UDPipe 1.2 (Praha),software1-P,4.6
LeisureX (Shanghai),software1-P,4.6
UniMelb (Melbourne),software1-P,4.6
CUNI x-ling (Praha),software1-P,4.59
ONLP lab (Ra'anana),software3-P,4.57
SLT-Interactions (Bengaluru),software2-P,4.2
LATTICE (Paris),software1-P,3.87
BOUN (İstanbul),software2-P,3.84
UDPipe Future (Praha),software1-P,3.72
Uppsala (Uppsala),software1-P,3.55
ParisNLP (Paris),software1-P,3.49
Phoenix (Shanghai),software1-P,3.42
HIT-SCIR (Harbin),software1-P,3.3
Stanford (Stanford),software2,3.16
TurkuNLP (Turku),software1-P,2.79
NLP-Cube (București),software1-P,2.67
ICS PAS (Warszawa),software1-P,2.41
CEA LIST (Paris),software1-P,2.35
Fudan (Shanghai),software5-P,1.8
HUJI (Yerushalayim),software1-P,0.22
IBM NY (Yorktown Heights),software1-P,0.14
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
