Stanford (Stanford),software2,75.94
CEA LIST (Paris),software1-P,75.72
ICS PAS (Warszawa),software1-P,74.31
TurkuNLP (Turku),software1-P,74.29
UDPipe Future (Praha),software1-P,74.16
HIT-SCIR (Harbin),software1-P,73.33
AntNLP (Shanghai),software1-P,71.85
Uppsala (Uppsala),software1-P,71.76
ParisNLP (Paris),software1-P,71.73
LATTICE (Paris),software1-P,71.58
iParse (Pittsburgh),software1-P,70.99
LeisureX (Shanghai),software1-P,70.7
NLP-Cube (București),software1-P,70.62
SLT-Interactions (Bengaluru),software2-P,70.62
UniMelb (Melbourne),software1-P,69.35
Fudan (Shanghai),software5-P,68.84
KParse (İstanbul),software1-P,68.01
BOUN (İstanbul),software2-P,67.97
BASELINE UDPipe 1.2 (Praha),software1-P,67.4
Phoenix (Shanghai),software1-P,67.29
HUJI (Yerushalayim),software1-P,66.41
CUNI x-ling (Praha),software1-P,65.42
ONLP lab (Ra'anana),software3-P,62.64
ArmParser (Yerevan),software1-P,52.9
IBM NY (Yorktown Heights),software1-P,47.78
SParse (İstanbul),software1-P,0.0
