TurkuNLP (Turku),software1-P,78.68
Stanford (Stanford),software2,78.62
UDPipe Future (Praha),software1-P,77.94
CEA LIST (Paris),software1-P,77.7
HIT-SCIR (Harbin),software1-P,77.47
ICS PAS (Warszawa),software1-P,76.84
AntNLP (Shanghai),software1-P,76.29
NLP-Cube (București),software1-P,76.26
ParisNLP (Paris),software1-P,76.02
Uppsala (Uppsala),software1-P,76.0
LeisureX (Shanghai),software1-P,74.6
LATTICE (Paris),software1-P,74.45
SLT-Interactions (Bengaluru),software2-P,73.98
KParse (İstanbul),software1-P,72.39
UniMelb (Melbourne),software1-P,72.38
Phoenix (Shanghai),software1-P,71.61
Fudan (Shanghai),software5-P,71.6
BASELINE UDPipe 1.2 (Praha),software1-P,71.48
BOUN (İstanbul),software2-P,71.0
HUJI (Yerushalayim),software1-P,70.57
IBM NY (Yorktown Heights),software1-P,68.89
CUNI x-ling (Praha),software1-P,68.21
ONLP lab (Ra'anana),software3-P,63.78
ArmParser (Yerevan),software1-P,56.43
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
