Stanford (Stanford),software2,75.01
CEA LIST (Paris),software1-P,73.44
UDPipe Future (Praha),software1-P,72.08
TurkuNLP (Turku),software1-P,71.85
Uppsala (Uppsala),software1-P,71.15
NLP-Cube (București),software1-P,66.99
ICS PAS (Warszawa),software1-P,63.97
HIT-SCIR (Harbin),software1-P,62.91
SLT-Interactions (Bengaluru),software2-P,59.27
ParisNLP (Paris),software1-P,58.52
AntNLP (Shanghai),software1-P,56.88
iParse (Pittsburgh),software1-P,56.66
LATTICE (Paris),software1-P,56.58
UniMelb (Melbourne),software1-P,56.34
LeisureX (Shanghai),software1-P,55.02
Fudan (Shanghai),software5-P,54.95
BASELINE UDPipe 1.2 (Praha),software1-P,54.38
Phoenix (Shanghai),software1-P,54.22
BOUN (İstanbul),software2-P,53.95
KParse (İstanbul),software1-P,53.49
CUNI x-ling (Praha),software1-P,53.33
IBM NY (Yorktown Heights),software1-P,52.2
HUJI (Yerushalayim),software1-P,51.64
ONLP lab (Ra'anana),software3-P,48.45
ArmParser (Yerevan),software1-P,44.16
SParse (İstanbul),software1-P,0.0
