TurkuNLP (Turku),software1-P,57.47
UDPipe Future (Praha),software1-P,54.07
Uppsala (Uppsala),software1-P,51.67
LATTICE (Paris),software1-P,50.65
Fudan (Shanghai),software5-P,49.82
iParse (Pittsburgh),software1-P,49.73
HIT-SCIR (Harbin),software1-P,49.47
ParisNLP (Paris),software1-P,48.73
Phoenix (Shanghai),software1-P,46.35
BASELINE UDPipe 1.2 (Praha),software1-P,46.05
CEA LIST (Paris),software1-P,46.05
LeisureX (Shanghai),software1-P,46.05
CUNI x-ling (Praha),software1-P,45.12
BOUN (İstanbul),software2-P,42.13
AntNLP (Shanghai),software1-P,40.94
UniMelb (Melbourne),software1-P,40.71
NLP-Cube (București),software1-P,39.9
ICS PAS (Warszawa),software1-P,39.66
KParse (İstanbul),software1-P,39.13
ONLP lab (Ra'anana),software3-P,37.23
Stanford (Stanford),software2,34.05
IBM NY (Yorktown Heights),software1-P,28.37
SLT-Interactions (Bengaluru),software2-P,8.53
HUJI (Yerushalayim),software1-P,3.58
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
