HIT-SCIR (Harbin),software1-P,66.62
Stanford (Stanford),software2,62.26
Uppsala (Uppsala),software1-P,59.53
NLP-Cube (București),software1-P,59.22
LATTICE (Paris),software1-P,58.61
TurkuNLP (Turku),software1-P,57.28
UDPipe Future (Praha),software1-P,55.97
CEA LIST (Paris),software1-P,55.2
ICS PAS (Warszawa),software1-P,53.48
UniMelb (Melbourne),software1-P,53.02
ParisNLP (Paris),software1-P,52.47
iParse (Pittsburgh),software1-P,52.11
LeisureX (Shanghai),software1-P,51.64
AntNLP (Shanghai),software1-P,50.89
KParse (İstanbul),software1-P,50.87
IBM NY (Yorktown Heights),software1-P,50.4
Fudan (Shanghai),software5-P,49.17
BASELINE UDPipe 1.2 (Praha),software1-P,48.49
Phoenix (Shanghai),software1-P,48.13
CUNI x-ling (Praha),software1-P,47.17
ONLP lab (Ra'anana),software3-P,46.88
BOUN (İstanbul),software2-P,46.55
ArmParser (Yerevan),software1-P,45.66
SLT-Interactions (Bengaluru),software2-P,45.51
HUJI (Yerushalayim),software1-P,43.72
SParse (İstanbul),software1-P,0.0
