UDPipe Future (Praha),software1-P,83.45
AntNLP (Shanghai),software1-P,83.33
BASELINE UDPipe 1.2 (Praha),software1-P,83.33
BOUN (İstanbul),software2-P,83.33
CEA LIST (Paris),software1-P,83.33
CUNI x-ling (Praha),software1-P,83.33
Fudan (Shanghai),software5-P,83.33
HIT-SCIR (Harbin),software1-P,83.33
HUJI (Yerushalayim),software1-P,83.33
IBM NY (Yorktown Heights),software1-P,83.33
ICS PAS (Warszawa),software1-P,83.33
KParse (İstanbul),software1-P,83.33
LATTICE (Paris),software1-P,83.33
LeisureX (Shanghai),software1-P,83.33
ONLP lab (Ra'anana),software3-P,83.33
ParisNLP (Paris),software1-P,83.33
Phoenix (Shanghai),software1-P,83.33
SLT-Interactions (Bengaluru),software2-P,83.33
TurkuNLP (Turku),software1-P,83.33
UniMelb (Melbourne),software1-P,83.33
NLP-Cube (București),software1-P,81.78
Uppsala (Uppsala),software1-P,80.68
iParse (Pittsburgh),software1-P,56.05
ArmParser (Yerevan),software1-P,14.88
Stanford (Stanford),software2,12.68
SParse (İstanbul),software1-P,0.0
