NLP-Cube (București),software1-P,99.65
Stanford (Stanford),software2,99.65
Uppsala (Uppsala),software1-P,99.65
AntNLP (Shanghai),software1-P,98.25
BASELINE UDPipe 1.2 (Praha),software1-P,98.25
BOUN (İstanbul),software2-P,98.25
CEA LIST (Paris),software1-P,98.25
CUNI x-ling (Praha),software1-P,98.25
Fudan (Shanghai),software5-P,98.25
HIT-SCIR (Harbin),software1-P,98.25
HUJI (Yerushalayim),software1-P,98.25
IBM NY (Yorktown Heights),software1-P,98.25
ICS PAS (Warszawa),software1-P,98.25
KParse (İstanbul),software1-P,98.25
LATTICE (Paris),software1-P,98.25
LeisureX (Shanghai),software1-P,98.25
ONLP lab (Ra'anana),software3-P,98.25
ParisNLP (Paris),software1-P,98.25
Phoenix (Shanghai),software1-P,98.25
SLT-Interactions (Bengaluru),software2-P,98.25
TurkuNLP (Turku),software1-P,98.25
UDPipe Future (Praha),software1-P,98.25
UniMelb (Melbourne),software1-P,98.25
iParse (Pittsburgh),software1-P,98.25
ArmParser (Yerevan),software1-P,3.15
SParse (İstanbul),software1-P,0.0
