AntNLP (Shanghai),software1-P,80.89
BASELINE UDPipe 1.2 (Praha),software1-P,80.89
BOUN (İstanbul),software2-P,80.89
CEA LIST (Paris),software1-P,80.89
CUNI x-ling (Praha),software1-P,80.89
Fudan (Shanghai),software5-P,80.89
HIT-SCIR (Harbin),software1-P,80.89
IBM NY (Yorktown Heights),software1-P,80.89
ICS PAS (Warszawa),software1-P,80.89
KParse (İstanbul),software1-P,80.89
LATTICE (Paris),software1-P,80.89
LeisureX (Shanghai),software1-P,80.89
ONLP lab (Ra'anana),software3-P,80.89
ParisNLP (Paris),software1-P,80.89
Phoenix (Shanghai),software1-P,80.89
SLT-Interactions (Bengaluru),software2-P,80.89
TurkuNLP (Turku),software1-P,80.89
UDPipe Future (Praha),software1-P,80.89
UniMelb (Melbourne),software1-P,80.89
iParse (Pittsburgh),software1-P,80.89
Stanford (Stanford),software2,80.27
NLP-Cube (București),software1-P,77.35
Uppsala (Uppsala),software1-P,68.06
ArmParser (Yerevan),software1-P,9.9
HUJI (Yerushalayim),software1-P,0.0
SParse (İstanbul),software1-P,0.0
