Uppsala (Uppsala),software1-P,93.18
CUNI x-ling (Praha),software1-P,92.07
AntNLP (Shanghai),software1-P,90.9
BASELINE UDPipe 1.2 (Praha),software1-P,90.9
BOUN (İstanbul),software2-P,90.9
CEA LIST (Paris),software1-P,90.9
Fudan (Shanghai),software5-P,90.9
HIT-SCIR (Harbin),software1-P,90.9
HUJI (Yerushalayim),software1-P,90.9
IBM NY (Yorktown Heights),software1-P,90.9
ICS PAS (Warszawa),software1-P,90.9
KParse (İstanbul),software1-P,90.9
LATTICE (Paris),software1-P,90.9
LeisureX (Shanghai),software1-P,90.9
ONLP lab (Ra'anana),software3-P,90.9
ParisNLP (Paris),software1-P,90.9
Phoenix (Shanghai),software1-P,90.9
SLT-Interactions (Bengaluru),software2-P,90.9
TurkuNLP (Turku),software1-P,90.9
UDPipe Future (Praha),software1-P,90.9
UniMelb (Melbourne),software1-P,90.9
iParse (Pittsburgh),software1-P,90.9
Stanford (Stanford),software2,78.99
NLP-Cube (București),software1-P,31.52
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
