Stanford (Stanford),software2,100.0
UDPipe Future (Praha),software1-P,100.0
Uppsala (Uppsala),software1-P,100.0
AntNLP (Shanghai),software1-P,99.76
BASELINE UDPipe 1.2 (Praha),software1-P,99.76
BOUN (İstanbul),software2-P,99.76
CEA LIST (Paris),software1-P,99.76
CUNI x-ling (Praha),software1-P,99.76
Fudan (Shanghai),software5-P,99.76
HIT-SCIR (Harbin),software1-P,99.76
HUJI (Yerushalayim),software1-P,99.76
IBM NY (Yorktown Heights),software1-P,99.76
ICS PAS (Warszawa),software1-P,99.76
KParse (İstanbul),software1-P,99.76
LATTICE (Paris),software1-P,99.76
LeisureX (Shanghai),software1-P,99.76
NLP-Cube (București),software1-P,99.76
ONLP lab (Ra'anana),software3-P,99.76
ParisNLP (Paris),software1-P,99.76
Phoenix (Shanghai),software1-P,99.76
SLT-Interactions (Bengaluru),software2-P,99.76
TurkuNLP (Turku),software1-P,99.76
UniMelb (Melbourne),software1-P,99.76
iParse (Pittsburgh),software1-P,99.76
ArmParser (Yerevan),software1-P,13.33
SParse (İstanbul),software1-P,0.0
