Stanford (Stanford),software2,94.17
UDPipe Future (Praha),software1-P,93.41
AntNLP (Shanghai),software1-P,92.3
BASELINE UDPipe 1.2 (Praha),software1-P,92.3
BOUN (İstanbul),software2-P,92.3
CEA LIST (Paris),software1-P,92.3
CUNI x-ling (Praha),software1-P,92.3
Fudan (Shanghai),software5-P,92.3
HIT-SCIR (Harbin),software1-P,92.3
HUJI (Yerushalayim),software1-P,92.3
IBM NY (Yorktown Heights),software1-P,92.3
ICS PAS (Warszawa),software1-P,92.3
KParse (İstanbul),software1-P,92.3
LATTICE (Paris),software1-P,92.3
LeisureX (Shanghai),software1-P,92.3
ONLP lab (Ra'anana),software3-P,92.3
ParisNLP (Paris),software1-P,92.3
Phoenix (Shanghai),software1-P,92.3
SLT-Interactions (Bengaluru),software2-P,92.3
TurkuNLP (Turku),software1-P,92.3
UniMelb (Melbourne),software1-P,92.3
iParse (Pittsburgh),software1-P,92.3
Uppsala (Uppsala),software1-P,92.29
NLP-Cube (București),software1-P,91.01
ArmParser (Yerevan),software1-P,16.81
SParse (İstanbul),software1-P,0.0
