Stanford (Stanford),software2,88.83
Uppsala (Uppsala),software1-P,88.18
AntNLP (Shanghai),software1-P,88.08
BASELINE UDPipe 1.2 (Praha),software1-P,88.08
BOUN (İstanbul),software2-P,88.08
CEA LIST (Paris),software1-P,88.08
CUNI x-ling (Praha),software1-P,88.08
Fudan (Shanghai),software5-P,88.08
HIT-SCIR (Harbin),software1-P,88.08
HUJI (Yerushalayim),software1-P,88.08
IBM NY (Yorktown Heights),software1-P,88.08
ICS PAS (Warszawa),software1-P,88.08
KParse (İstanbul),software1-P,88.08
LATTICE (Paris),software1-P,88.08
LeisureX (Shanghai),software1-P,88.08
ONLP lab (Ra'anana),software3-P,88.08
ParisNLP (Paris),software1-P,88.08
Phoenix (Shanghai),software1-P,88.08
SLT-Interactions (Bengaluru),software2-P,88.08
TurkuNLP (Turku),software1-P,88.08
UniMelb (Melbourne),software1-P,88.08
iParse (Pittsburgh),software1-P,88.08
NLP-Cube (București),software1-P,87.8
UDPipe Future (Praha),software1-P,87.21
ArmParser (Yerevan),software1-P,15.4
SParse (İstanbul),software1-P,0.0
