NLP-Cube (București),software1-P,84.99
AntNLP (Shanghai),software1-P,83.9
BASELINE UDPipe 1.2 (Praha),software1-P,83.9
BOUN (İstanbul),software2-P,83.9
CEA LIST (Paris),software1-P,83.9
CUNI x-ling (Praha),software1-P,83.9
Fudan (Shanghai),software5-P,83.9
HIT-SCIR (Harbin),software1-P,83.9
HUJI (Yerushalayim),software1-P,83.9
IBM NY (Yorktown Heights),software1-P,83.9
ICS PAS (Warszawa),software1-P,83.9
KParse (İstanbul),software1-P,83.9
LATTICE (Paris),software1-P,83.9
LeisureX (Shanghai),software1-P,83.9
ONLP lab (Ra'anana),software3-P,83.9
ParisNLP (Paris),software1-P,83.9
Phoenix (Shanghai),software1-P,83.9
SLT-Interactions (Bengaluru),software2-P,83.9
TurkuNLP (Turku),software1-P,83.9
UDPipe Future (Praha),software1-P,83.9
UniMelb (Melbourne),software1-P,83.9
iParse (Pittsburgh),software1-P,83.9
Uppsala (Uppsala),software1-P,82.97
ArmParser (Yerevan),software1-P,7.32
SParse (İstanbul),software1-P,0.0
Stanford (Stanford),software2,0.0
