Uppsala (Uppsala),software1-P,98.93
NLP-Cube (București),software1-P,98.81
AntNLP (Shanghai),software1-P,98.73
BASELINE UDPipe 1.2 (Praha),software1-P,98.73
BOUN (İstanbul),software2-P,98.73
CEA LIST (Paris),software1-P,98.73
CUNI x-ling (Praha),software1-P,98.73
Fudan (Shanghai),software5-P,98.73
HIT-SCIR (Harbin),software1-P,98.73
HUJI (Yerushalayim),software1-P,98.73
IBM NY (Yorktown Heights),software1-P,98.73
ICS PAS (Warszawa),software1-P,98.73
KParse (İstanbul),software1-P,98.73
LATTICE (Paris),software1-P,98.73
LeisureX (Shanghai),software1-P,98.73
ONLP lab (Ra'anana),software3-P,98.73
ParisNLP (Paris),software1-P,98.73
Phoenix (Shanghai),software1-P,98.73
SLT-Interactions (Bengaluru),software2-P,98.73
TurkuNLP (Turku),software1-P,98.73
UDPipe Future (Praha),software1-P,98.73
UniMelb (Melbourne),software1-P,98.73
iParse (Pittsburgh),software1-P,98.73
Stanford (Stanford),software2,98.7
ArmParser (Yerevan),software1-P,13.21
SParse (İstanbul),software1-P,0.0
