Stanford (Stanford),software2,99.29
AntNLP (Shanghai),software1-P,99.2
BASELINE UDPipe 1.2 (Praha),software1-P,99.2
BOUN (İstanbul),software2-P,99.2
CEA LIST (Paris),software1-P,99.2
CUNI x-ling (Praha),software1-P,99.2
Fudan (Shanghai),software5-P,99.2
HIT-SCIR (Harbin),software1-P,99.2
HUJI (Yerushalayim),software1-P,99.2
IBM NY (Yorktown Heights),software1-P,99.2
ICS PAS (Warszawa),software1-P,99.2
KParse (İstanbul),software1-P,99.2
LATTICE (Paris),software1-P,99.2
LeisureX (Shanghai),software1-P,99.2
ONLP lab (Ra'anana),software3-P,99.2
ParisNLP (Paris),software1-P,99.2
Phoenix (Shanghai),software1-P,99.2
SLT-Interactions (Bengaluru),software2-P,99.2
TurkuNLP (Turku),software1-P,99.2
UniMelb (Melbourne),software1-P,99.2
iParse (Pittsburgh),software1-P,99.2
Uppsala (Uppsala),software1-P,99.02
NLP-Cube (București),software1-P,98.84
UDPipe Future (Praha),software1-P,98.63
ArmParser (Yerevan),software1-P,7.92
SParse (İstanbul),software1-P,0.0
