Stanford (Stanford),software2,65.9
IBM NY (Yorktown Heights),software1-P,58.79
HIT-SCIR (Harbin),software1-P,55.52
Uppsala (Uppsala),software1-P,54.0
UDPipe Future (Praha),software1-P,28.95
AntNLP (Shanghai),software1-P,21.8
BASELINE UDPipe 1.2 (Praha),software1-P,21.8
BOUN (İstanbul),software2-P,21.8
CEA LIST (Paris),software1-P,21.8
CUNI x-ling (Praha),software1-P,21.8
Fudan (Shanghai),software5-P,21.8
HUJI (Yerushalayim),software1-P,21.8
ICS PAS (Warszawa),software1-P,21.8
KParse (İstanbul),software1-P,21.8
LATTICE (Paris),software1-P,21.8
LeisureX (Shanghai),software1-P,21.8
NLP-Cube (București),software1-P,21.8
ONLP lab (Ra'anana),software3-P,21.8
ParisNLP (Paris),software1-P,21.8
SLT-Interactions (Bengaluru),software2-P,21.8
TurkuNLP (Turku),software1-P,21.8
UniMelb (Melbourne),software1-P,21.8
Phoenix (Shanghai),software1-P,21.18
ArmParser (Yerevan),software1-P,1.54
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
