Uppsala (Uppsala),software1-P,90.85
Stanford (Stanford),software2,73.19
AntNLP (Shanghai),software1-P,69.14
BASELINE UDPipe 1.2 (Praha),software1-P,69.14
BOUN (İstanbul),software2-P,69.14
CEA LIST (Paris),software1-P,69.14
Fudan (Shanghai),software5-P,69.14
HIT-SCIR (Harbin),software1-P,69.14
HUJI (Yerushalayim),software1-P,69.14
IBM NY (Yorktown Heights),software1-P,69.14
ICS PAS (Warszawa),software1-P,69.14
KParse (İstanbul),software1-P,69.14
LATTICE (Paris),software1-P,69.14
LeisureX (Shanghai),software1-P,69.14
NLP-Cube (București),software1-P,69.14
ONLP lab (Ra'anana),software3-P,69.14
ParisNLP (Paris),software1-P,69.14
Phoenix (Shanghai),software1-P,69.14
SLT-Interactions (Bengaluru),software2-P,69.14
TurkuNLP (Turku),software1-P,69.14
UDPipe Future (Praha),software1-P,69.14
UniMelb (Melbourne),software1-P,69.14
iParse (Pittsburgh),software1-P,69.14
CUNI x-ling (Praha),software1-P,68.98
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
