Stanford (Stanford),software2,39.61
IBM NY (Yorktown Heights),software1-P,39.15
HIT-SCIR (Harbin),software1-P,39.09
Uppsala (Uppsala),software1-P,37.64
UDPipe Future (Praha),software1-P,35.36
AntNLP (Shanghai),software1-P,35.16
BASELINE UDPipe 1.2 (Praha),software1-P,35.16
BOUN (İstanbul),software2-P,35.16
CEA LIST (Paris),software1-P,35.16
CUNI x-ling (Praha),software1-P,35.16
Fudan (Shanghai),software5-P,35.16
HUJI (Yerushalayim),software1-P,35.16
ICS PAS (Warszawa),software1-P,35.16
KParse (İstanbul),software1-P,35.16
LATTICE (Paris),software1-P,35.16
LeisureX (Shanghai),software1-P,35.16
NLP-Cube (București),software1-P,35.16
ONLP lab (Ra'anana),software3-P,35.16
ParisNLP (Paris),software1-P,35.16
Phoenix (Shanghai),software1-P,35.16
SLT-Interactions (Bengaluru),software2-P,35.16
TurkuNLP (Turku),software1-P,35.16
UniMelb (Melbourne),software1-P,35.16
iParse (Pittsburgh),software1-P,35.16
ArmParser (Yerevan),software1-P,9.5
SParse (İstanbul),software1-P,0.0
