Stanford (Stanford),software2,91.32
Uppsala (Uppsala),software1-P,88.11
NLP-Cube (București),software1-P,86.0
UDPipe Future (Praha),software1-P,84.96
AntNLP (Shanghai),software1-P,84.26
BASELINE UDPipe 1.2 (Praha),software1-P,84.26
BOUN (İstanbul),software2-P,84.26
CEA LIST (Paris),software1-P,84.26
CUNI x-ling (Praha),software1-P,84.26
Fudan (Shanghai),software5-P,84.26
HIT-SCIR (Harbin),software1-P,84.26
HUJI (Yerushalayim),software1-P,84.26
IBM NY (Yorktown Heights),software1-P,84.26
ICS PAS (Warszawa),software1-P,84.26
KParse (İstanbul),software1-P,84.26
LATTICE (Paris),software1-P,84.26
LeisureX (Shanghai),software1-P,84.26
ONLP lab (Ra'anana),software3-P,84.26
ParisNLP (Paris),software1-P,84.26
Phoenix (Shanghai),software1-P,84.26
SLT-Interactions (Bengaluru),software2-P,84.26
TurkuNLP (Turku),software1-P,84.26
UniMelb (Melbourne),software1-P,84.26
iParse (Pittsburgh),software1-P,84.26
ArmParser (Yerevan),software1-P,15.93
SParse (İstanbul),software1-P,0.0
