Stanford (Stanford),software2,99.24
NLP-Cube (București),software1-P,97.51
HIT-SCIR (Harbin),software1-P,94.6
Uppsala (Uppsala),software1-P,93.23
UDPipe Future (Praha),software1-P,76.74
AntNLP (Shanghai),software1-P,76.61
BASELINE UDPipe 1.2 (Praha),software1-P,76.61
BOUN (İstanbul),software2-P,76.61
CEA LIST (Paris),software1-P,76.61
CUNI x-ling (Praha),software1-P,76.61
Fudan (Shanghai),software5-P,76.61
HUJI (Yerushalayim),software1-P,76.61
IBM NY (Yorktown Heights),software1-P,76.61
ICS PAS (Warszawa),software1-P,76.61
KParse (İstanbul),software1-P,76.61
LATTICE (Paris),software1-P,76.61
LeisureX (Shanghai),software1-P,76.61
ONLP lab (Ra'anana),software3-P,76.61
ParisNLP (Paris),software1-P,76.61
Phoenix (Shanghai),software1-P,76.61
SLT-Interactions (Bengaluru),software2-P,76.61
TurkuNLP (Turku),software1-P,76.61
UniMelb (Melbourne),software1-P,76.61
ArmParser (Yerevan),software1-P,7.93
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
