Stanford (Stanford),software2,84.36
NLP-Cube (București),software1-P,83.83
Uppsala (Uppsala),software1-P,83.47
UDPipe Future (Praha),software1-P,82.82
AntNLP (Shanghai),software1-P,81.61
BASELINE UDPipe 1.2 (Praha),software1-P,81.61
BOUN (İstanbul),software2-P,81.61
CEA LIST (Paris),software1-P,81.61
CUNI x-ling (Praha),software1-P,81.61
Fudan (Shanghai),software5-P,81.61
HIT-SCIR (Harbin),software1-P,81.61
HUJI (Yerushalayim),software1-P,81.61
IBM NY (Yorktown Heights),software1-P,81.61
ICS PAS (Warszawa),software1-P,81.61
KParse (İstanbul),software1-P,81.61
LATTICE (Paris),software1-P,81.61
LeisureX (Shanghai),software1-P,81.61
ONLP lab (Ra'anana),software3-P,81.61
ParisNLP (Paris),software1-P,81.61
Phoenix (Shanghai),software1-P,81.61
SLT-Interactions (Bengaluru),software2-P,81.61
TurkuNLP (Turku),software1-P,81.61
UniMelb (Melbourne),software1-P,81.61
ArmParser (Yerevan),software1-P,17.06
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
