HIT-SCIR (Harbin),software1-P,98.42
CEA LIST (Paris),software1-P,98.16
CUNI x-ling (Praha),software1-P,98.09
TurkuNLP (Turku),software1-P,97.83
Uppsala (Uppsala),software1-P,97.6
SLT-Interactions (Bengaluru),software2-P,97.51
Phoenix (Shanghai),software1-P,97.46
UDPipe Future (Praha),software1-P,97.46
AntNLP (Shanghai),software1-P,97.39
BASELINE UDPipe 1.2 (Praha),software1-P,97.39
BOUN (İstanbul),software2-P,97.39
ICS PAS (Warszawa),software1-P,97.39
KParse (İstanbul),software1-P,97.39
LATTICE (Paris),software1-P,97.39
LeisureX (Shanghai),software1-P,97.39
ParisNLP (Paris),software1-P,97.39
UniMelb (Melbourne),software1-P,97.39
Fudan (Shanghai),software5-P,97.38
NLP-Cube (București),software1-P,97.36
IBM NY (Yorktown Heights),software1-P,97.3
ONLP lab (Ra'anana),software3-P,97.28
Stanford (Stanford),software2,96.19
HUJI (Yerushalayim),software1-P,94.95
ArmParser (Yerevan),software1-P,79.75
iParse (Pittsburgh),software1-P,78.45
SParse (İstanbul),software1-P,2.32
