Uppsala (Uppsala),software1-P,93.34
CEA LIST (Paris),software1-P,92.86
HIT-SCIR (Harbin),software1-P,92.23
CUNI x-ling (Praha),software1-P,92.2
TurkuNLP (Turku),software1-P,89.85
Phoenix (Shanghai),software1-P,86.51
UDPipe Future (Praha),software1-P,86.23
AntNLP (Shanghai),software1-P,85.76
BASELINE UDPipe 1.2 (Praha),software1-P,85.76
BOUN (İstanbul),software2-P,85.76
Fudan (Shanghai),software5-P,85.76
HUJI (Yerushalayim),software1-P,85.76
ICS PAS (Warszawa),software1-P,85.76
KParse (İstanbul),software1-P,85.76
LATTICE (Paris),software1-P,85.76
LeisureX (Shanghai),software1-P,85.76
ParisNLP (Paris),software1-P,85.76
SLT-Interactions (Bengaluru),software2-P,85.76
UniMelb (Melbourne),software1-P,85.76
IBM NY (Yorktown Heights),software1-P,85.42
ONLP lab (Ra'anana),software3-P,84.81
NLP-Cube (București),software1-P,84.13
Stanford (Stanford),software2,76.28
iParse (Pittsburgh),software1-P,53.27
ArmParser (Yerevan),software1-P,32.13
SParse (İstanbul),software1-P,0.0
