TurkuNLP (Turku),software1-P,94.49
CEA LIST (Paris),software1-P,92.5
AntNLP (Shanghai),software1-P,92.26
BASELINE UDPipe 1.2 (Praha),software1-P,92.26
BOUN (İstanbul),software2-P,92.26
Fudan (Shanghai),software5-P,92.26
HUJI (Yerushalayim),software1-P,92.26
ICS PAS (Warszawa),software1-P,92.26
KParse (İstanbul),software1-P,92.26
LATTICE (Paris),software1-P,92.26
LeisureX (Shanghai),software1-P,92.26
NLP-Cube (București),software1-P,92.26
ONLP lab (Ra'anana),software3-P,92.26
ParisNLP (Paris),software1-P,92.26
SLT-Interactions (Bengaluru),software2-P,92.26
UniMelb (Melbourne),software1-P,92.26
iParse (Pittsburgh),software1-P,92.26
Phoenix (Shanghai),software1-P,91.93
IBM NY (Yorktown Heights),software1-P,91.78
Uppsala (Uppsala),software1-P,91.4
HIT-SCIR (Harbin),software1-P,91.13
UDPipe Future (Praha),software1-P,91.03
CUNI x-ling (Praha),software1-P,89.25
Stanford (Stanford),software2,76.43
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
