Uppsala (Uppsala),software1-P,99.62
NLP-Cube (București),software1-P,99.55
AntNLP (Shanghai),software1-P,99.28
BASELINE UDPipe 1.2 (Praha),software1-P,99.28
BOUN (İstanbul),software2-P,99.28
CEA LIST (Paris),software1-P,99.28
CUNI x-ling (Praha),software1-P,99.28
HIT-SCIR (Harbin),software1-P,99.28
HUJI (Yerushalayim),software1-P,99.28
IBM NY (Yorktown Heights),software1-P,99.28
ICS PAS (Warszawa),software1-P,99.28
KParse (İstanbul),software1-P,99.28
LATTICE (Paris),software1-P,99.28
LeisureX (Shanghai),software1-P,99.28
ONLP lab (Ra'anana),software3-P,99.28
ParisNLP (Paris),software1-P,99.28
Phoenix (Shanghai),software1-P,99.28
SLT-Interactions (Bengaluru),software2-P,99.28
TurkuNLP (Turku),software1-P,99.28
UniMelb (Melbourne),software1-P,99.28
iParse (Pittsburgh),software1-P,99.28
UDPipe Future (Praha),software1-P,99.25
Fudan (Shanghai),software5-P,99.15
Stanford (Stanford),software2,99.02
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
