UDPipe Future (Praha),software1-P,99.9
Stanford (Stanford),software2,99.88
AntNLP (Shanghai),software1-P,99.87
ArmParser (Yerevan),software1-P,99.87
BASELINE UDPipe 1.2 (Praha),software1-P,99.87
BOUN (İstanbul),software2-P,99.87
CEA LIST (Paris),software1-P,99.87
CUNI x-ling (Praha),software1-P,99.87
Fudan (Shanghai),software5-P,99.87
HIT-SCIR (Harbin),software1-P,99.87
HUJI (Yerushalayim),software1-P,99.87
ICS PAS (Warszawa),software1-P,99.87
KParse (İstanbul),software1-P,99.87
LATTICE (Paris),software1-P,99.87
LeisureX (Shanghai),software1-P,99.87
ONLP lab (Ra'anana),software3-P,99.87
ParisNLP (Paris),software1-P,99.87
Phoenix (Shanghai),software1-P,99.87
SLT-Interactions (Bengaluru),software2-P,99.87
TurkuNLP (Turku),software1-P,99.87
UniMelb (Melbourne),software1-P,99.87
iParse (Pittsburgh),software1-P,99.87
NLP-Cube (București),software1-P,99.85
Uppsala (Uppsala),software1-P,99.85
IBM NY (Yorktown Heights),software1-P,99.75
SParse (İstanbul),software1-P,0.0
