Stanford (Stanford),software2,99.81
AntNLP (Shanghai),software1-P,99.75
ArmParser (Yerevan),software1-P,99.75
BASELINE UDPipe 1.2 (Praha),software1-P,99.75
BOUN (İstanbul),software2-P,99.75
CEA LIST (Paris),software1-P,99.75
CUNI x-ling (Praha),software1-P,99.75
Fudan (Shanghai),software5-P,99.75
HIT-SCIR (Harbin),software1-P,99.75
HUJI (Yerushalayim),software1-P,99.75
ICS PAS (Warszawa),software1-P,99.75
KParse (İstanbul),software1-P,99.75
LATTICE (Paris),software1-P,99.75
LeisureX (Shanghai),software1-P,99.75
ONLP lab (Ra'anana),software3-P,99.75
ParisNLP (Paris),software1-P,99.75
Phoenix (Shanghai),software1-P,99.75
SLT-Interactions (Bengaluru),software2-P,99.75
TurkuNLP (Turku),software1-P,99.75
UDPipe Future (Praha),software1-P,99.75
UniMelb (Melbourne),software1-P,99.75
iParse (Pittsburgh),software1-P,99.75
IBM NY (Yorktown Heights),software1-P,99.72
Uppsala (Uppsala),software1-P,99.71
NLP-Cube (București),software1-P,99.65
SParse (İstanbul),software1-P,0.0
