Stanford (Stanford),software2,99.73
Uppsala (Uppsala),software1-P,99.7
UDPipe Future (Praha),software1-P,99.69
IBM NY (Yorktown Heights),software1-P,99.68
NLP-Cube (București),software1-P,99.68
AntNLP (Shanghai),software1-P,99.66
ArmParser (Yerevan),software1-P,99.66
BASELINE UDPipe 1.2 (Praha),software1-P,99.66
BOUN (İstanbul),software2-P,99.66
CEA LIST (Paris),software1-P,99.66
CUNI x-ling (Praha),software1-P,99.66
Fudan (Shanghai),software5-P,99.66
HIT-SCIR (Harbin),software1-P,99.66
HUJI (Yerushalayim),software1-P,99.66
ICS PAS (Warszawa),software1-P,99.66
KParse (İstanbul),software1-P,99.66
LATTICE (Paris),software1-P,99.66
LeisureX (Shanghai),software1-P,99.66
ONLP lab (Ra'anana),software3-P,99.66
ParisNLP (Paris),software1-P,99.66
Phoenix (Shanghai),software1-P,99.66
SLT-Interactions (Bengaluru),software2-P,99.66
TurkuNLP (Turku),software1-P,99.66
UniMelb (Melbourne),software1-P,99.66
iParse (Pittsburgh),software1-P,99.66
SParse (İstanbul),software1-P,0.0
