AntNLP (Shanghai),software1-P,99.69
ArmParser (Yerevan),software1-P,99.69
BASELINE UDPipe 1.2 (Praha),software1-P,99.69
BOUN (İstanbul),software2-P,99.69
CEA LIST (Paris),software1-P,99.69
CUNI x-ling (Praha),software1-P,99.69
Fudan (Shanghai),software5-P,99.69
HIT-SCIR (Harbin),software1-P,99.69
HUJI (Yerushalayim),software1-P,99.69
ICS PAS (Warszawa),software1-P,99.69
KParse (İstanbul),software1-P,99.69
LATTICE (Paris),software1-P,99.69
LeisureX (Shanghai),software1-P,99.69
ONLP lab (Ra'anana),software3-P,99.69
ParisNLP (Paris),software1-P,99.69
Phoenix (Shanghai),software1-P,99.69
SLT-Interactions (Bengaluru),software2-P,99.69
TurkuNLP (Turku),software1-P,99.69
UDPipe Future (Praha),software1-P,99.69
UniMelb (Melbourne),software1-P,99.69
iParse (Pittsburgh),software1-P,99.69
NLP-Cube (București),software1-P,99.5
IBM NY (Yorktown Heights),software1-P,98.56
Uppsala (Uppsala),software1-P,98.5
Stanford (Stanford),software2,93.7
SParse (İstanbul),software1-P,0.0
